timestamp,switch_id,table_id,cookie,priority,in_port,eth_src,eth_dst,out_port,packet_count,byte_count,duration_sec,duration_nsec,avg_pkt_size,pkt_rate,byte_rate,Label_multi,Label_binary
1752305135.651282,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,0,,,,4294967293,66,6036,6,,91.45454545454545,11.0,1006.0,normal,0
1752305136.659492,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305136.659492,0x1,,,0,,,,4294967293,66,6036,6,,91.45454545454545,11.0,1006.0,normal,0
1752305137.666807,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305137.666807,0x1,,,0,,,,4294967293,66,6036,8,,91.45454545454545,8.25,754.5,normal,0
1752305138.672416,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:01,1,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:02,2,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:03,3,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:04,4,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:06,6,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:05,5,1,98,3,,98.0,0.3333333333333333,32.666666666666664,normal,0
1752305138.672416,0x1,,,0,,,,4294967293,66,6036,8,,91.45454545454545,8.25,754.5,normal,0
1752305139.677832,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305139.677832,0x1,,,0,,,,4294967293,66,6036,11,,91.45454545454545,6.0,548.7272727272727,normal,0
1752305140.687071,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:01,1,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:02,2,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:03,3,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:04,4,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:06,6,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:05,5,1,98,5,,98.0,0.2,19.6,normal,0
1752305140.687071,0x1,,,0,,,,4294967293,66,6036,11,,91.45454545454545,6.0,548.7272727272727,normal,0
1752305141.69185,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,7,,98.0,0.14285714285714285,14.0,normal,0
1752305141.69185,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,7,,98.0,0.14285714285714285,14.0,normal,0
1752305141.69185,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,7,,98.0,0.14285714285714285,14.0,normal,0
